speaker_id,orthography,gloss,stem,gender,dialect_area,origin
002,καταγοτανε,kataɣotane.VERB.Imp.Ind.Sing.3.Past.Fin.Pass,γ,Female,0,Athens
002,σκεφτοντουσαν,skeftodusan.VERB.Imp.Ind.Plur.3.Past.Fin.Pass,ουσ,Female,0,Athens
002,φαινοντουσαν,fenodusan.VERB.Imp.Ind.Plur.3.Past.Fin.Act,ουσ,Female,0,Athens
002,περπαταγε,perpataɣe.VERB.Imp.Ind.Sing.3.Past.Fin.Act,γ,Female,0,Athens
002,προσπαθουσανε,prospaθusane.VERB.Imp.Ind.Plur.3.Past.Fin.Act,ουσ,Female,0,Athens
002,περπαταγαμε,perpataɣame.VERB.Imp.Ind.Plur.1.Past.Fin.Act,γ,Female,0,Athens
002,περπαταγαμε,perpataɣame.VERB.Imp.Ind.Plur.1.Past.Fin.Act,γ,Female,0,Athens
002,μιλαγαμε,milaɣame.VERB.Imp.Ind.Plur.1.Past.Fin.Act,γ,Female,0,Athens
002,αγωνιουσε,aɣoniuse.VERB.Imp.Ind.Sing.3.Past.Fin.Act,γ,Female,0,Athens
002,χαμολαγε,xamolaɣe.VERB.Imp.Ind.Sing.3.Past.Fin.Act,γ,Female,0,Athens
002,χαμογελαγε,xamoɣelaɣe.VERB.Imp.Ind.Sing.3.Past.Fin.Act,γ,Female,0,Athens
002,μιλαγε,milaɣe.VERB.Imp.Ind.Sing.3.Past.Fin.Act,γ,Female,0,Athens
002,εννοουσε,enouse.VERB.Imp.Ind.Sing.3.Past.Fin.Act,ουσ,Female,0,Athens
002,εννοουσε,enouse.VERB.Imp.Ind.Sing.3.Past.Fin.Act,ουσ,Female,0,Athens
002,εννοουσε,enouse.VERB.Imp.Ind.Sing.3.Past.Fin.Act,ουσ,Female,0,Athens
002,εξυπναγε,eksipnaɣe.VERB.Imp.Ind.Sing.3.Past.Fin.Act,γ,Female,0,Athens
002,ερχοντουσαν,erxodusan.VERB.Imp.Ind.Plur.3.Past.Fin.Pass,ουσ,Female,0,Athens
002,ζουσανε,zusane.VERB.Imp.Ind.Plur.3.Past.Fin.Act,ουσ,Female,0,Athens
002,μιλαγε,milaɣe.VERB.Imp.Ind.Sing.3.Past.Fin.Act,γ,Female,0,Athens
002,μιλαγε,milaɣe.VERB.Imp.Ind.Sing.3.Past.Fin.Act,γ,Female,0,Athens
002,χρειαζοντουσαν,xriazodusan.VERB.Imp.Ind.Plur.3.Past.Fin.Act,ουσ,Female,0,Athens
002,χρειαζοντουσαν,xriazodusan.VERB.Imp.Ind.Plur.3.Past.Fin.Act,ουσ,Female,0,Athens
002,χρειαζοντουσαν,xriazodusan.VERB.Imp.Ind.Plur.3.Past.Fin.Act,ουσ,Female,0,Athens
002,χρησιμοποιουσα,xrisimopjusa.VERB.Imp.Ind.Sing.1.Past.Fin.Act,ουσ,Female,0,Athens
002,μιλαγα,milaɣa.VERB.Imp.Ind.Sing.1.Past.Fin.Act,γ,Female,0,Athens
002,μιλαγα,milaɣa.VERB.Imp.Ind.Sing.1.Past.Fin.Act,γ,Female,0,Athens
002,ενθουσιαζε,enθusiaze.VERB.Imp.Ind.Sing.3.Past.Fin.Act,ουσ,Female,0,Athens
002,γινοντουσαν,ɣinodusan.VERB.Imp.Ind.Plur.3.Past.Fin.Pass,ουσ,Female,0,Athens
003,εδουσι,eðusi.VERB.Imp.Ind.Plur.3.Past.Fin.Act,ουσ,Female,2,Northern
003,πατουσα,patusa.VERB.Imp.Ind.Sing.1.Past.Fin.Act,ουσ,Female,2,Northern
003,ζητουσε,zituse.VERB.Imp.Ind.Sing.3.Past.Fin.Act,ουσ,Female,2,Northern
003,διαλουσαν,ðialusan.VERB.Imp.Ind.Plur.3.Past.Fin.Act,ουσ,Female,2,Northern
003,φ΄λουσαν,f΄lusan.VERB.Imp.Ind.3.Past.Fin.Act,ουσ,Female,2,Northern
003,πουλουσε,puluse.VERB.Imp.Ind.Sing.3.Past.Fin.Act,ουσ,Female,2,Northern
003,μιλουσα,milusa.VERB.Imp.Ind.Sing.1.Past.Fin.Act,ουσ,Female,2,Northern
003,αγαπουσαν,aɣapusan.VERB.Imp.Ind.Plur.3.Past.Fin.Act,γ,Female,2,Northern
004,μιλαγανε,milaɣane.VERB.Imp.Ind.Plur.3.Past.Fin.Act,γ,Female,1,Patras
004,χτυπαγες,xtipaɣes.VERB.Imp.Ind.Plur.2.Past.Fin.Act,γ,Female,1,Patras
004,ρωταγανε,rotaɣane.VERB.Imp.Ind.Plur.3.Past.Fin.Act,γ,Female,1,Patras
004,πουλαγαν,pulaɣan.VERB.Imp.Ind.Plur.3.Past.Fin.Act,γ,Female,1,Patras
004,πεταγαν,petaɣan.VERB.Imp.Ind.Plur.3.Past.Fin.Act,γ,Female,1,Patras
004,περπαταγε,perpataɣe.VERB.Imp.Ind.Sing.3.Past.Fin.Act,γ,Female,1,Patras
004,μιλαγε,milaɣe.VERB.Imp.Ind.Sing.3.Past.Fin.Act,γ,Female,1,Patras
004,απανταγε,apadaɣe.VERB.Imp.Ind.Sing.3.Past.Fin.Act,γ,Female,1,Patras
017,κοιταγανε,kitaɣane.VERB.Imp.Ind.Plur.3.Past.Fin.Act,γ,Female,1,Stephania/Laconia
017,εξυπηρετουσα,eksipiretusa.VERB.Imp.Ind.Sing.1.Past.Fin.Act,ουσ,Female,1,Stephania/Laconia
017,χτυπουσαν,xtipusan.VERB.Imp.Ind.Plur.3.Past.Fin.Act,ουσ,Female,1,Stephania/Laconia
017,γελαγανε,ɣelaɣane.VERB.Imp.Ind.Plur.3.Past.Fin.Act,γ,Female,1,Stephania/Laconia
017,γινοντουσαν,ɣinodusan.VERB.Imp.Ind.Plur.3.Past.Fin.Pass,ουσ,Female,1,Stephania/Laconia
017,αγαπουσανε,aɣapusane.VERB.Imp.Ind.Plur.3.Past.Fin.Act,γ,Female,1,Stephania/Laconia
017,πουλαγα,pulaɣa.VERB.Imp.Ind.Sing.1.Past.Fin.Act,γ,Female,1,Stephania/Laconia
017,φοραγαν,foraɣan.VERB.Imp.Ind.Plur.3.Past.Fin.Act,γ,Female,1,Stephania/Laconia
017,γινοντουσαν,ɣinodusan.VERB.Imp.Ind.Plur.3.Past.Fin.Pass,ουσ,Female,1,Stephania/Laconia
017,αγαπουσε,aɣapuse.VERB.Imp.Ind.Sing.3.Past.Fin.Act,γ,Female,1,Stephania/Laconia
017,ρωταγε,rotaɣe.VERB.Imp.Ind.Sing.3.Past.Fin.Act,γ,Female,1,Stephania/Laconia
017,βοηθαγανε,voiθaɣane.VERB.Imp.Ind.Plur.3.Past.Fin.Act,γ,Female,1,Stephania/Laconia
017,μιλαγαν,milaɣan.VERB.Imp.Ind.Plur.3.Past.Fin.Act,γ,Female,1,Stephania/Laconia
017,αγαπησανε,aɣapisane.VERB.Perf.Ind.Plur.3.Past.Fin.Act,γ,Female,1,Stephania/Laconia
017,αγαπουσαν,aɣapusan.VERB.Imp.Ind.Plur.3.Past.Fin.Act,γ,Female,1,Stephania/Laconia
017,ζουσαμε,zusame.VERB.Imp.Ind.Plur.1.Past.Fin.Act,ουσ,Female,1,Stephania/Laconia
017,ζουσαμε,zusame.VERB.Imp.Ind.Plur.1.Past.Fin.Act,ουσ,Female,1,Stephania/Laconia
017,μιλαγανε,milaɣane.VERB.Imp.Ind.Plur.3.Past.Fin.Act,γ,Female,1,Stephania/Laconia
017,μιλουσαμε,milusame.VERB.Imp.Ind.Plur.1.Past.Fin.Act,ουσ,Female,1,Stephania/Laconia
017,μιλαγαμε,milaɣame.VERB.Imp.Ind.Plur.1.Past.Fin.Act,γ,Female,1,Stephania/Laconia
017,τραβαγαμε,travaɣame.VERB.Imp.Ind.Plur.1.Past.Fin.Act,γ,Female,1,Stephania/Laconia
017,πεταγανε,petaɣane.VERB.Imp.Ind.Plur.3.Past.Fin.Act,γ,Female,1,Stephania/Laconia
017,αγοραζαμε,aɣorazame.VERB.Imp.Ind.Plur.1.Past.Fin.Act,γ,Female,1,Stephania/Laconia
017,ειδοποιουσανε,iðopjusane.VERB.Imp.Ind.Plur.3.Past.Fin.Act,ουσ,Female,1,Stephania/Laconia
017,περναγε,pernaɣe.VERB.Imp.Ind.Sing.3.Past.Fin.Act,γ,Female,1,Stephania/Laconia
017,ζουσαν,zusan.VERB.Imp.Ind.Plur.3.Past.Fin.Act,ουσ,Female,1,Stephania/Laconia
046,αναγκαστηκα,anagastika.VERB.Perf.Ind.Sing.1.Past.Fin.Pass,γ,Female,0,Athens
046,αγαπουσα,aɣapusa.VERB.Imp.Ind.Sing.1.Past.Fin.Act,γ,Female,0,Athens
046,μιλουσαν,milusan.VERB.Imp.Ind.Plur.3.Past.Fin.Act,ουσ,Female,0,Athens
046,μιλουσαν,milusan.VERB.Imp.Ind.Plur.3.Past.Fin.Act,ουσ,Female,0,Athens
046,μιλουσαν,milusan.VERB.Imp.Ind.Plur.3.Past.Fin.Act,ουσ,Female,0,Athens
046,μιλουσανε,milusane.VERB.Imp.Ind.Plur.3.Past.Fin.Act,ουσ,Female,0,Athens
046,ερχοντουσαν,erxodusan.VERB.Imp.Ind.Plur.3.Past.Fin.Pass,ουσ,Female,0,Athens
046,μιλουσαν,milusan.VERB.Imp.Ind.Plur.3.Past.Fin.Act,ουσ,Female,0,Athens
046,μιλουσα,milusa.VERB.Imp.Ind.Sing.1.Past.Fin.Act,ουσ,Female,0,Athens
046,μιλουσαν,milusan.VERB.Imp.Ind.Plur.3.Past.Fin.Act,ουσ,Female,0,Athens
046,μιλουσα,milusa.VERB.Imp.Ind.Sing.1.Past.Fin.Act,ουσ,Female,0,Athens
046,μιλουσα,milusa.VERB.Imp.Ind.Sing.1.Past.Fin.Act,ουσ,Female,0,Athens
046,ερχοντουσαν,erxodusan.VERB.Imp.Ind.Plur.3.Past.Fin.Pass,ουσ,Female,0,Athens
046,γινοντουσαν,ɣinodusan.VERB.Imp.Ind.Plur.3.Past.Fin.Pass,ουσ,Female,0,Athens
046,γινοντουσαν,ɣinodusan.VERB.Imp.Ind.Plur.3.Past.Fin.Pass,ουσ,Female,0,Athens
046,μιλουσανε,milusane.VERB.Imp.Ind.Plur.3.Past.Fin.Act,ουσ,Female,0,Athens
046,περνουσε,pernuse.VERB.Imp.Ind.Sing.3.Past.Fin.Act,ουσ,Female,0,Athens
046,μιλουσαν,milusan.VERB.Imp.Ind.Plur.3.Past.Fin.Act,ουσ,Female,0,Athens
046,μιλουσα,milusa.VERB.Imp.Ind.Sing.1.Past.Fin.Act,ουσ,Female,0,Athens
046,μιλουσε,miluse.VERB.Imp.Ind.Sing.3.Past.Fin.Act,ουσ,Female,0,Athens
046,μιλαγε,milaɣe.VERB.Imp.Ind.Sing.3.Past.Fin.Act,γ,Female,0,Athens
046,μιλουσα,milusa.VERB.Imp.Ind.Sing.1.Past.Fin.Act,ουσ,Female,0,Athens
046,μιλουσε,miluse.VERB.Imp.Ind.Sing.3.Past.Fin.Act,ουσ,Female,0,Athens
046,ζουσε,zuse.VERB.Imp.Ind.Sing.3.Past.Fin.Act,ουσ,Female,0,Athens
046,μιλουσε,miluse.VERB.Imp.Ind.Sing.3.Past.Fin.Act,ουσ,Female,0,Athens
046,μιλουσε,miluse.VERB.Imp.Ind.Sing.3.Past.Fin.Act,ουσ,Female,0,Athens
046,μιλουσαν,milusan.VERB.Imp.Ind.Plur.3.Past.Fin.Act,ουσ,Female,0,Athens
046,βοηθουσε,voiθuse.VERB.Imp.Ind.Sing.3.Past.Fin.Act,ουσ,Female,0,Athens
046,τραγουδαγαν,traɣuðaɣan.VERB.Imp.Ind.Plur.3.Past.Fin.Act,γ,Female,0,Athens
046,τραγουδουσαν,traɣuðusan.VERB.Imp.Ind.Plur.3.Past.Fin.Act,γ,Female,0,Athens
046,ζουσε,zuse.VERB.Imp.Ind.Sing.3.Past.Fin.Act,ουσ,Female,0,Athens
046,γελαγαν,ɣelaɣan.VERB.Imp.Ind.Plur.3.Past.Fin.Act,γ,Female,0,Athens
054,δαγκωνες,ðagones.VERB.Imp.Ind.Sing.2.Past.Fin.Act,γ,Female,16,Cairo
054,χρωσταγανε,xrostaɣane.VERB.Imp.Ind.Plur.3.Past.Fin.Act,γ,Female,16,Cairo
054,ζηταγανε,zitaɣane.VERB.Imp.Ind.Plur.3.Past.Fin.Act,γ,Female,16,Cairo
054,χρωσταγα,xrostaɣa.VERB.Imp.Ind.Sing.1.Past.Fin.Act,γ,Female,16,Cairo
054,χρωσταγα,xrostaɣa.VERB.Imp.Ind.Sing.1.Past.Fin.Act,γ,Female,16,Cairo
054,χρωσταγα,xrostaɣa.VERB.Imp.Ind.Sing.1.Past.Fin.Act,γ,Female,16,Cairo
054,αγοραζε,aɣoraze.VERB.Imp.Ind.Sing.3.Past.Fin.Act,γ,Female,16,Cairo
054,ζηταγανε,zitaɣane.VERB.Imp.Ind.Plur.3.Past.Fin.Act,γ,Female,16,Cairo
054,φεροντουσαν,ferodusan.VERB.Imp.Ind.Plur.3.Past.Fin.Pass,ουσ,Female,16,Cairo
054,κοιταγα,kitaɣa.VERB.Imp.Ind.Sing.1.Past.Fin.Act,γ,Female,16,Cairo
054,βοηθουσα,voiθusa.VERB.Imp.Ind.Sing.1.Past.Fin.Act,ουσ,Female,16,Cairo
054,αγορασα,aɣorasa.VERB.Perf.Ind.Sing.1.Past.Fin.Act,γ,Female,16,Cairo
