Informant_ID,City,YOB,Gender,Origin,DoI,Dialect_Area,,
002,Toronto,1946,Female,Athens,,0,2,2
003,Toronto,1933,Female,Northern,1961,2,3,3
004,Quebec,1962,Female,Patras,1974,1,4,4
017,Vancouver,1940,Female,"Stephania, Laconia",1958,1,17,17
046,Vancouver,1951,Female,Athens,,0,46,46
054,Montreal,1946,Female,Cairo,1968,16,54,54
063,Vancouver,1940,Male,Zakynthos,,1,63,63
064,Montreal,1929,Male,Zakynthos,1961,1,64,64
065,Montreal,1940,Female,Zakynthos,1961,1,65,65
068,Montreal,1941,Male,Laconia,1963,1,68,68
071,Montreal,1946,Female,Cairo,,16,71,71
076,Montreal,1934,Female,Kozani,1955,2,76,76
081,Montreal,1929,Female,Korinthia,1959,1,81,81
082,Montreal,1937,Male,Zakynthos,1966,1,82,82
083,Montreal,1948,Male,Ithaca,,1,83,83
121,Edmonton,1954,Male,Mavromati,,1,121,121
122,Montreal,1931,Male,Nafpaktia,1958,2,122,122
123,Montreal,1939,Male,Nafpaktia,1957,2,123,123
124,Montreal,1950,Male,Messenia,1970,1,124,124
125,Montreal,1943,Male,Lefkada,1969,2,125,125
126,Montreal,1945,Male,Athens,1968,0,126,126
128,Montreal,1956,Female,"Klindia, Elis, peloponnese",1972,1,128,128
130,Montreal,1931,Male,Korinthia,1956,1,130,130
132,Montreal,1937,Male,Chania,,8,132,132
134,Montreal,1949,Female,Zakynthos,1969,1,134,134
136,Tripoli,1944,Female,Tripoli,1962,1,136,136
137,Montreal,1955,Female,Methoni,1971,1,137,137
138,Montreal,1959,Male,Methoni,1975,1,138,138
139,Montreal,1937,Male,Messenia,,1,139,139
140,Montreal,1939,Male,Kalimnos,,10,140,140
142,Montreal,1930,Male,Athens,1947,0,142,142
145,Montreal,1945,Male,Lefkada,1959,2,145,145
147,Montreal,1930,Male,Kozani,1959,2,147,147
148,Toronto,1940,Female,Cyprus,,9,148,148
154,Winnipeg,1936,Female,Messenia,,1,154,154
156,Edmonton,1957,Female,"Zervata, Sami, Kefalonia",,1,156,156
158,Toronto,1931,Male,Piraeus,,0,158,158
163,Toronto,1947,Female,liksouri,,1,163,163
165,Montreal,1941,Female,Samos,1967,2,165,165
167,Montreal,1950,Male,Nafpaktia,1972,2,167,167
168,Montreal,1942,Male,Cephalonia,1971,1,168,168
171,Montreal,1947,Male,Amaliada,1962,1,171,171
172,Montreal,1934,Male,"Nea Zoi, Edessa",1964,2,172,172
